,Unnamed: 0_x,hh_sex,hh_age,cond_migracion,escolaridad,work_30days,mig_ocupacion,orig_ocupacion,student_status,modalidad_educacion,no_escuela_why,no_escuela_why/1,no_escuela_why/2,no_escuela_why/3,no_escuela_why/4,no_escuela_why/5,no_escuela_why/6,no_escuela_why/7,no_escuela_why/8,no_escuela_why/9,no_escuela_why/10,no_escuela_why/11,no_escuela_why/12,no_escuela_why/13,no_escuela_why/14,no_escuela_why/15,no_escuela_why/16,no_escuela_why/17,no_escuela_why/18,no_escuela_why/19,no_escuela_why/20,no_escuela_why/21,no_escuela_why/22,no_escuela_why/23,no_escuela_why/24,no_escuela_why/88,no_escuela_why/99,school_feeding,income_contributer_main,income_manager,housework_yn,pregnant_yn,breastfeeding_yn,vulnerability,vulnerability/1,vulnerability/2,vulnerability/3,vulnerability/99,_index_x,_parent_table_name_x,rsp_id,_submission__id_x,_submission__uuid_x,_submission__submission_time_x,_submission__validation_status_x,_submission__notes_x,_submission__status_x,_submission__submitted_by_x,_submission__tags_x,country_x,migrated_yn_x,Unnamed: 0_y,mig_ext_sex,mig_ext_age,mig_ext_motivo,mig_ext_motivo/1,mig_ext_motivo/2,mig_ext_motivo/3,mig_ext_motivo/4,mig_ext_motivo/5,mig_ext_motivo/6,mig_ext_motivo/7,mig_ext_motivo/8,mig_ext_motivo/9,mig_ext_motivo/10,mig_ext_motivo/11,mig_ext_motivo/12,mig_ext_motivo/13,mig_ext_motivo/14,mig_ext_motivo/15,mig_ext_motivo/16,mig_ext_motivo/99,mig_ext_acompany,mig_ext_acompany/1,mig_ext_acompany/2,mig_ext_acompany/3,mig_ext_acompany/4,mig_ext_acompany/5,mig_ext_acompany/6,mig_ext_acompany/7,mig_ext_acompany/8,mig_ext_acompany/9,mig_ext_acompany/99,mig_ext_medio,mig_ext_medio/1,mig_ext_medio/2,mig_ext_medio/3,mig_ext_medio/4,mig_ext_medio/5,mig_ext_medio/6,mig_ext_medio/7,mig_ext_medio/8,mig_ext_medio/9,mig_ext_medio/10,mig_ext_medio/11,mig_ext_medio/12,mig_ext_medio/99,mig_ext_cost_awareness,mig_ext_cost_currency,mig_ext_cost_total,mig_ext_attempts,mig_ext_cost_dist_awareness,mig_ext_cost_transportation,mig_ext_cost_subsistence,mig_ext_cost_intermediaries,mig_ext_cost_other,sum_gasto_viaje,note_mig_calculo,mig_ext_finance,mig_ext_finance/1,mig_ext_finance/2,mig_ext_finance/3,mig_ext_finance/4,mig_ext_finance/5,mig_ext_finance/6,mig_ext_finance/7,mig_ext_finance/8,mig_ext_finance/9,mig_ext_finance/10,mig_ext_finance/11,mig_ext_finance/99,mig_ext_violence,mig_ext_violence/1,mig_ext_violence/2,mig_ext_violence/3,mig_ext_violence/4,mig_ext_violence/5,mig_ext_violence/6,mig_ext_violence/7,mig_ext_violence/8,mig_ext_violence/9,mig_ext_violence/10,mig_ext_violence/11,mig_ext_violence/99,mig_ext_violence_who,mig_ext_violence_who/1,mig_ext_violence_who/2,mig_ext_violence_who/3,mig_ext_violence_who/4,mig_ext_violence_who/5,mig_ext_violence_who/6,mig_ext_violence_who/7,mig_ext_violence_who/99,mig_ext_country,mig_ext_country_other,mig_ext_llego,mig_ext_return,_index_y,_parent_table_name_y,_submission__id_y,_submission__uuid_y,_submission__submission_time_y,_submission__validation_status_y,_submission__notes_y,_submission__status_y,_submission__submitted_by_y,_submission__tags_y,country_y,mig_ext_finance_group/1,mig_ext_finance_group/2,mig_ext_finance_group/3,mig_ext_medio_group/1,mig_ext_medio_group/2,mig_ext_medio_group/3,cost_per_attempt,migrated_yn_y
1,61,2,35,3,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,3,0.0,0.0,1.0,0.0,62,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,15,175700852,aec065ee-f2d1-4b18-94a1-85d2c39d68b1,2021-05-04T05:18:21,,[],submitted_via_web,wfpmandeteam,[],HND,1,1,2,35,1 8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,800.0,1.0,1.0,40.0,40.0,10.0,10.0,100.0,,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,,2,1.0,2,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,175700852,aec065ee-f2d1-4b18-94a1-85d2c39d68b1,2021-05-04T05:18:21,,[],submitted_via_web,wfpmandeteam,[],HND,0,1,0,0,0,1,800.0,1
3,105,2,29,6,3.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,106,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,29,175692593,0090582b-8fb9-4eab-a357-debaec6f7cea,2021-05-04T04:03:38,,[],submitted_via_web,wfpmandeteam,[],GT,1,3,2,29,1 8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,10400.0,3.0,0.0,,,,,,,4,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,,1,,4,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,175692593,0090582b-8fb9-4eab-a357-debaec6f7cea,2021-05-04T04:03:38,,[],submitted_via_web,wfpmandeteam,[],GT,1,0,0,0,1,0,3466.666666666666,1
4,113,2,47,3,4.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,3,0.0,0.0,1.0,0.0,114,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,32,175692586,03e61c76-3ae8-4163-b25b-60aca243cc46,2021-05-04T04:03:36,,[],submitted_via_web,wfpmandeteam,[],GT,1,5,2,47,1 7 8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,10400.0,3.0,0.0,,,,,,,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,,2,4.0,6,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,175692586,03e61c76-3ae8-4163-b25b-60aca243cc46,2021-05-04T04:03:36,,[],submitted_via_web,wfpmandeteam,[],GT,1,0,0,0,1,0,3466.666666666666,1
5,130,2,19,3,6.0,0.0,9.0,9.0,3.0,,6 7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,,0.0,1.0,,,2,0.0,1.0,0.0,0.0,131,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,36,174315002,0da008c3-53d8-45e7-b935-f8e3564c71cc,2021-04-27T20:48:06,,[],submitted_via_web,,[],SLV,1,6,2,19,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,12000.0,2.0,0.0,,,,,,,5,0,0,0,0,1,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,,1,,7,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,174315002,0da008c3-53d8-45e7-b935-f8e3564c71cc,2021-04-27T20:48:06,,[],submitted_via_web,,[],SLV,0,1,0,0,1,0,6000.0,1
6,131,1,47,3,3.0,0.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,2,0.0,1.0,0.0,0.0,132,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,36,174315002,0da008c3-53d8-45e7-b935-f8e3564c71cc,2021-04-27T20:48:06,,[],submitted_via_web,,[],SLV,1,6,2,19,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,12000.0,2.0,0.0,,,,,,,5,0,0,0,0,1,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,,1,,7,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,174315002,0da008c3-53d8-45e7-b935-f8e3564c71cc,2021-04-27T20:48:06,,[],submitted_via_web,,[],SLV,0,1,0,0,1,0,6000.0,1
7,132,2,54,3,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,2,0.0,1.0,0.0,0.0,133,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,36,174315002,0da008c3-53d8-45e7-b935-f8e3564c71cc,2021-04-27T20:48:06,,[],submitted_via_web,,[],SLV,1,6,2,19,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,12000.0,2.0,0.0,,,,,,,5,0,0,0,0,1,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,,1,,7,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,174315002,0da008c3-53d8-45e7-b935-f8e3564c71cc,2021-04-27T20:48:06,,[],submitted_via_web,,[],SLV,0,1,0,0,1,0,6000.0,1
8,147,2,59,3,3.0,0.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,3,0.0,0.0,1.0,0.0,148,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,39,174908717,dd90e8cc-26c4-4ebc-9d9e-44cf20d3eb95,2021-04-29T21:33:21,,[],submitted_via_web,,[],SLV,1,8,2,59,1 2 8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,300.0,1.0,99.0,,,,,,,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,,6,1.0,9,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,174908717,dd90e8cc-26c4-4ebc-9d9e-44cf20d3eb95,2021-04-29T21:33:21,,[],submitted_via_web,,[],SLV,0,0,1,0,0,1,300.0,1
9,151,2,20,4,3.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,152,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,41,172944299,5c40ddc9-5671-4142-97a5-4e942a6973ff,2021-04-21T20:07:10,,[],submitted_via_web,wfpmandeteam,[],GT,1,9,1,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,11700.0,2.0,0.0,,,,,,,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,,4,,11,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,172944299,5c40ddc9-5671-4142-97a5-4e942a6973ff,2021-04-21T20:07:10,,[],submitted_via_web,wfpmandeteam,[],GT,0,1,0,0,1,0,5850.0,1
10,151,2,20,4,3.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,152,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,41,172944299,5c40ddc9-5671-4142-97a5-4e942a6973ff,2021-04-21T20:07:10,,[],submitted_via_web,wfpmandeteam,[],GT,1,10,2,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,11700.0,3.0,0.0,,,,,,,8,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,,4,,10,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,172944299,5c40ddc9-5671-4142-97a5-4e942a6973ff,2021-04-21T20:07:10,,[],submitted_via_web,wfpmandeteam,[],GT,0,1,0,0,1,0,3900.0,1
11,152,1,36,4,3.0,0.0,99.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,Estudio de Migración y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,41,172944299,5c40ddc9-5671-4142-97a5-4e942a6973ff,2021-04-21T20:07:10,,[],submitted_via_web,wfpmandeteam,[],GT,1,9,1,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,11700.0,2.0,0.0,,,,,,,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,,4,,11,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,172944299,5c40ddc9-5671-4142-97a5-4e942a6973ff,2021-04-21T20:07:10,,[],submitted_via_web,wfpmandeteam,[],GT,0,1,0,0,1,0,5850.0,1
